ID,HashTags,TweetText,Output,mentions_other,URLs,User
18,,"Boycott Alabama starting today. Boycott all companies located in Alabama starting today. Do not visit, do not vacation there.  #BoycottAlabama   #WomensRightsAreHumanRights","Boycott Alabama starting today. Boycott all companies located in Alabama starting today. Do not visit, do not vacation there.  #BoycottAlabama   #WomensRightsAreHumanRights",Alabama;Alabama;,https://twitter.com/i/web/status/1128732826105524233,kwin02173081
19,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,AlexandraL_24
20,,"The only way to STOP the dystopian future horror show from happening is to VOTE BLUE in EVERY ELECTION, small or large, even when the candidate wasn't your 1st, 2nd or 3rd choice. 

#AlabamaAbortionBan #AbortionRights #RoeVWade #AlabamaSenate #WomensRightsAreHumanRights ","The only way to STOP the dystopian future horror show from happening is to VOTE BLUE in EVERY ELECTION, small or large, even when the candidate wasn't your 1st, 2nd or 3rd choice. 

#AlabamaAbortionBan #AbortionRights #RoeVWade #AlabamaSenate #WomensRightsAreHumanRights ",ELECTION;,https://twitter.com/i/web/status/1128732827011489798,PERSlSTERS
21,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,PriusRaj
22,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,Blackswan725
23,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan","Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,,VioPerrotte
24,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ","Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,,Cupcake072761
25,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,thevongie
26,,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,“Step 1 was to get Brett Kavanaugh appointed to the Supreme Court. Step 2 was to enact multiple laws in multiple states so that they could work their way up the appeals process. Step 3 is Kavanaugh paying back all of the favors it took to get him appointed.”,"Brett Kavanaugh,Supreme Court;;Kavanaugh",,bob_levitt
27,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,debjohn718
28,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,JoyTaylorTalks
29,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,MicaelaGarzoni
30,,"The whole misogynist Republican enterprise is now out in the open.

We're fighting a battle on the state level not just for abortion rights—but for a woman's fundamental freedom to make her own decisions about her own body. ","The whole misogynist Republican enterprise is now out in the open.

We're fighting a battle on the state level not just for abortion rights—but for a woman's fundamental freedom to make her own decisions about her own body. ",Republican;,,HelenRosenthal
31,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,LPinedaBR80
32,RoeVWade,Do you want to see #RoeVWade overturned?,Do you want to see #RoeVWade overturned?,,,MasonPampinella
33,"RoeVWade, Proud","#RoeVWade #Proud I have 3 sister all who are PRO-LIFE &amp; have beautiful children! I am the lucky one as their brother. I stand with REAL WOMEN!!!

#MAGAPatriotsUnite

#RedAwaken2020 #GetInTheFight @redawaken2020

#BLEXIT #WalkAway #MAGA2KAG #MAGACountry #Trump2020 #BuildTheWall ","#RoeVWade #Proud I have 3 sister all who are PRO-LIFE &amp; have beautiful children! I am the lucky one as their brother. I stand with REAL WOMEN!!!

#MAGAPatriotsUnite

#RedAwaken2020 #GetInTheFight @redawaken2020

#BLEXIT #WalkAway #MAGA2KAG #MAGACountry #Trump2020 #BuildTheWall ",;;,,sappermartin
34,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan","Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,,whitechoclate68
35,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ","Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,,sweetzwoo1
36,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,jdubya688
37,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,penneyewart
38,,Yes please let’s stop giving all that money to Israel,Yes please let’s stop giving all that money to Israel,Israel,,AlphaTrap420
39,"fiverr, AlabamaAbortionBan","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","Are you looking for convert PSD to HTML? Contact me at any time on #fiverr
Jets Gase #AlabamaAbortionBan #WednesdayWisdom Black Mirror #RoeVWade Morty 
","PSD,HTML;Jets Gase,Black Mirror, Morty",https://twitter.com/i/web/status/1128732850302251008,shafiqhammad7
40,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ","The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,,smazattack
41,RoeVWade,"The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ","The attack on women’s bodies is real. We aren’t going to be silent. 

Our voices will be heard. 

✊🏾✊✊🏻✊🏼✊🏽✊🏿

#RoeVWade ",;;;,,K_KiallRoran
42,"RoeVWade, RoeVsWade",Do you remember when Joe Biden voted to allow states to overturn Roe V Wade? I sure do. #RoeVWade #RoeVsWade #AlabamaBoycott #GeorgiaBoycott #WednesdayWisdom,Do you remember when Joe Biden voted to allow states to overturn Roe V Wade? I sure do. #RoeVWade #RoeVsWade #AlabamaBoycott #GeorgiaBoycott #WednesdayWisdom,"Joe Biden,Roe V Wade;;",,SirJoshImmortal
43,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,fetrow_judith
44,,Wellppppp,Wellppppp,,,CuriousKaila
45,,"Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Basic health care includes safe, legal Abortion. Alabama’s backdoor abortion ban is an unconstitutional attack on women—an attack happening all across America. Let’s be very clear: We’re going to fight this ban and defend #RoeVWade. And we’ll win. ","Abortion;Alabama,abortion,America;;",,DeborahAlcorn
46,,"Actually it is the CHILDREN conceived in rape who thank the state GOP. Those children who are who are often given the death penalty even though they are completely innocent of any crimes. They thank the state GOP.
One of such children is Travon👉🏾 ","Actually it is the CHILDREN conceived in rape who thank the state GOP. Those children who are who are often given the death penalty even though they are completely innocent of any crimes. They thank the state GOP.
One of such children is Travon👉🏾 ",GOP;;GOP;Travon,,BjBadger2wisky
47,,"Roe V Wade: The Constitutional Right to Access Safe, Legal Abortion. On January 22, 1973, the U.S. Supreme Court handed down its landmark decision in the case of Roe V Wade, which affirmed the constitutional right to access safe, legal abortion. #RoeVWade","Roe V Wade: The Constitutional Right to Access Safe, Legal Abortion. On January 22, 1973, the U.S. Supreme Court handed down its landmark decision in the case of Roe V Wade, which affirmed the constitutional right to access safe, legal abortion. #RoeVWade","Roe V Wade, Abortion;U.S. Supreme Court,Roe V Wade,abortion",https://twitter.com/i/web/status/1128732862377877504,BrendaLeeNY
48,RoeVWade,I can’t believe we’re still debating #RoeVWade in 2019. WTAF,I can’t believe we’re still debating #RoeVWade in 2019. WTAF,,,Jason_House
49,,"Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ","Alabama reaches a new, deeply unconstitutional low. Abortion is not a crime, it is a medical procedure, a constitutional right, &amp; above all else, a choice for women to make without government interference. We’ll never stop fighting for women to have control over their own bodies. ",Alabama;Abortion;,,think_teach1
50,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,MoHottaMoBetta
51,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,RichardRitzJr1
52,RoeVWade,"If a woman dies during childbirth, then the man who orgasmed inside her should be charged with murder. #RoeVWade","If a woman dies during childbirth, then the man who orgasmed inside her should be charged with murder. #RoeVWade",,,ariakumar
53,,"What happened in Alabama can NEVER happen here in VA and as our Federal Judiciary now leans conservative, it’s important that #RoevWade continues to be the law of the land in VA. I will fight for a women’s right to have control over their own bodies #SaveRoe #MyBodyMyChoicePeriod","What happened in Alabama can NEVER happen here in VA and as our Federal Judiciary now leans conservative, it’s important that #RoevWade continues to be the law of the land in VA. I will fight for a women’s right to have control over their own bodies #SaveRoe #MyBodyMyChoicePeriod","Alabama,VA,Federal Judiciary,VA;",,nitagale
54,maga,"Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion isn't just legal in Israel, it's free.
So all the anti-abortion #maga  ppl praising Alabama &amp; trying to kill #RoeVWade will probably start demanding we end all US aid to Israel, am I right?","Abortion,Israel;Alabama,US,Israel",,Its_Ry_Guy
55,,"What's all the fuss? U can still get an ""Abortion"" in Alabama. Just wait until your kid is school age and leave it in the hands of classroom shooters there. #NRAIsATerroristOrganization #BoycottAlabama #RoeVWade #WomensRightsAreHumanRights #AlabamaHatesWomen #AlabamaAbortionBan","What's all the fuss? U can still get an ""Abortion"" in Alabama. Just wait until your kid is school age and leave it in the hands of classroom shooters there. #NRAIsATerroristOrganization #BoycottAlabama #RoeVWade #WomensRightsAreHumanRights #AlabamaHatesWomen #AlabamaAbortionBan",";Abortion,Alabama;;",,stalag13G
56,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,Michael_Sh4w
57,,"Shout out to everyone who said we were mad about nothing, bitter, and over exaggerating when we went out and marched right after that boy got put into the White House. #RoeVWade","Shout out to everyone who said we were mad about nothing, bitter, and over exaggerating when we went out and marched right after that boy got put into the White House. #RoeVWade",White House;,https://twitter.com/i/web/status/1128732874855682048,ReallyMighty
58,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,rohaniroop
59,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,gzaidlin
60,RoeVWade,"Well done Alabama!

#RoeVWade ","Well done Alabama!

#RoeVWade ",Alabama;,,jacktunney6
61,RoeVWade,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Reminder: 73% of Americans don’t want to see #RoeVWade overturned.,Americans,,deedee33955
62,"AlabamaAbortionBan, WednesdayWisdom, RoeVWade","Its my new  logo design
Link here:     
#AlabamaAbortionBan #WednesdayWisdom #RoeVWade #WomensRightsAreHumanRights #YouKnowMe #zombie #romance #lufc #Girl #Vampire #UofTFieldDay #WinnipegGeneralStrike #catsvdogs #HitMeWithYourBestPun #LEEDER ","Its my new  logo design
Link here:     
#AlabamaAbortionBan #WednesdayWisdom #RoeVWade #WomensRightsAreHumanRights #YouKnowMe #zombie #romance #lufc #Girl #Vampire #UofTFieldDay #WinnipegGeneralStrike #catsvdogs #HitMeWithYourBestPun #LEEDER ",;;,"https://bit.ly/2HFOJ5i, https://twitter.com/i/web/status/1128732879838765063",ArifAri82038236
63,RoeVWade,"If a woman dies during childbirth, then the man who orgasmed inside her should be charged with murder. #RoeVWade","If a woman dies during childbirth, then the man who orgasmed inside her should be charged with murder. #RoeVWade",;,,jen_fritz
64,,"Women could get 30 years in prison for having a miscarriage in Georgia. We all saw this coming and now it’s time to resist. Bankrupt the states that bans Abortion until they overturn these laws. Women deserve better. 

#RoeVWade 

","Women could get 30 years in prison for having a miscarriage in Georgia. We all saw this coming and now it’s time to resist. Bankrupt the states that bans Abortion until they overturn these laws. Women deserve better. 

#RoeVWade 

",Georgia;;Abortion;,,SluttySlutSlut1
65,,"The right on Abortion: ""Won't someone think of the children!?""
The right on the latest mass shooting of innocent children in schools: crickets
But yeah. Totally pro-life and not anti-woman. Totally. #RoeVWade #AlabamaAbortionBan #alpolitics","The right on Abortion: ""Won't someone think of the children!?""
The right on the latest mass shooting of innocent children in schools: crickets
But yeah. Totally pro-life and not anti-woman. Totally. #RoeVWade #AlabamaAbortionBan #alpolitics",Abortion;;;;;,https://twitter.com/i/web/status/1128732886507458560,generic_dreams
66,RoeVWade,@katebarstool Stronger than @SenSusanCollins determining whether Kavanaugh would promise to uphold #RoeVWade,@katebarstool Stronger than @SenSusanCollins determining whether Kavanaugh would promise to uphold #RoeVWade,Kavanuagh,,KatieMazzz
67,,Alabama’s abortion ban is a cruel and blatant attack on women—and it is part of a larger effort by extreme politicians to roll back #RoevWade. I’m going to fight these attacks every step of the way and I know women and men across the country are too.,Alabama’s abortion ban is a cruel and blatant attack on women—and it is part of a larger effort by extreme politicians to roll back #RoevWade. I’m going to fight these attacks every step of the way and I know women and men across the country are too.,"Alabama,abortion;",,blkduk27
68,,"The Alabama Senate passed a bill banning and criminalizing abortion, even in the case of the incestual rape of a minor. 

How sick is that?

#RoeVWade #Choice #WomensRightsAreHumanRights #ReproductiveRights #ProChoice #WednesdayWisdom ","The Alabama Senate passed a bill banning and criminalizing abortion, even in the case of the incestual rape of a minor. 

How sick is that?

#RoeVWade #Choice #WomensRightsAreHumanRights #ReproductiveRights #ProChoice #WednesdayWisdom ","Alabama Senate,abortion;;",,tallies53
69,,yes please,yes please,,https://twitter.com/JohnFugelsang/status/1128695136551149569,okaybyyyeeeeeee
70,,"Alabama Republicans using their Christian beliefs for the reason to make Abortion illegal.
It's not about god, it's about controlling women
If it is about god for some, not your place to make that decision. 
Choices in life R b/t god &amp; individual
#RoeVWade","Alabama Republicans using their Christian beliefs for the reason to make Abortion illegal.
It's not about god, it's about controlling women
If it is about god for some, not your place to make that decision. 
Choices in life R b/t god &amp; individual
#RoeVWade","Alabama Republicans,Christian,Abortion;;;;",https://twitter.com/i/web/status/1128732889837907969,MiaLis79
71,RoeVWade,"Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan","Maybe if we called school shootings ""post-birth abortions"" the Republican Party would give a damn about them. #RoeVWade #AlabamaAbortionBan",Republican Party;,,MsLisaBaby
72,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,haimeswatching
73,"AlabamaAbortionBan, AlabamaSenate","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","To all of the Trump supporters defending the #AlabamaAbortionBan that just passed in the #AlabamaSenate, please recall Donald Trump in 1999 said ""I'm very pro-choice.""  He's a conman, trying to overturn #RoeVWade just for votes. ","Trump,Donald Trump;",,mccannic
74,,27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),27 white males just decided what Alabama women can and can’t do with their own bodies and lives.  *(Males cause 100% of unwanted pregnancies),Alabama;,,Smith8241Smith
75,RoeVWade,It is a child.  #RoeVWade,It is a child.  #RoeVWade,,,ClintLewey
76,"AlabamaAbortionBan, RoeVWade",#AlabamaAbortionBan is a beautiful thing. Can't wait for the next state to adopt it. Soon #RoeVWade will be dead and become a states right issue under the 10th Amendment.,#AlabamaAbortionBan is a beautiful thing. Can't wait for the next state to adopt it. Soon #RoeVWade will be dead and become a states right issue under the 10th Amendment.,;; 10th Amendment,https://twitter.com/i/web/status/1128732895638691840,ShaunPerryWho
